file_name,content,grade
20152t4p1166n0r.docx,"É inaceitável e constrangedor a violência que existe no Brasil, causa pânico e acomete vidas inocentes.

Como ter uma vida cheia de harmônia e tranquilidade? Como podemos dar solução?

Ounque, acredito que todas as esferas do governo ou os que tem haver com a segurança, estão tomando todas as medidas necessárias para convater a violência no país,

Acho que para dar certo a disminuição da violência que não é uma tarefa fácil, temos que dar uma olhada a muitos aspectos e medidas: como ter acesso a educação abolir os comerciais que nos mostram da TV, erradicar a venda de drogas, cigarros, bebidas alcoioólicas, entre outras coisas.",0
20152t4p1305n0r.docx,"A capital paraense já foi considerada uma das cidades brasileiras com maior variedade de azulejos que coloriam as fachadas e o enterior das residências, boa parte dele foram importadas da Europa. Mas na década de 1970 para cá, mais de 50% dos azulejos se perderam. Desde fevereiro deste ano a situação parece ter agravado. A proteção dos palacetes parece encaminhada, mas situação na cidade causa preocupação já que outros três casarões tiveram azulejos furtados. Nossa cidade tem necessidade de se tomem medidas imediatas pela parte da prefeitura municipal porque enquando as envestigações não forem concluídas os poucos exemplares aumentam seu valor.",0
20152t4p1477n0r.docx,"A prefeitura municipal respeitosa.                                                                           20/10/2015.
Sou a publicidade em jornais locais. Vou explicá-lo.
Como a cidade importante e antiga. Há muitos construções que certificar a gloriosa da cidade. Devemos deixar muitas pessoas aprender nossa cidade. Então, vamos respeitar ela. Não tem conhecidos errôneo.
A cidade importante tem uma alma propria. Só. Não devemos coagir nossa cidade fazer alguma mudança que não tem posse.

scinramente,
a publicada.
",0
20152t4p1506n0r.docx,"Data: 20/10/2015
De: Bibiana C. Terra
Para: Prefeitura Municipal
Assunto: Gritos de socorro
Prezado Prefeitura Municipal
Venho pelo presente a fim de fazer gritos de socorro.
Os moradores desta cidade estam muito preocupados com problema dos roubadores que nem deixam os moradores a viver a vontades. Por causa destes roubadores alguns ja ficam com medo de dar beleza as suas casas, e outros preferem fazer ou enbelezar interriores das suas casas.
Portanto, gostaria de estes atos incomodavel também preocupante, se terminam mais urgente posivel.
Aguardo resposta.
Fico à disposição para quaisquer informações
Cordialmente Bibiana C. Terra",0
20152t4p1512n0r.docx,"Desculpe. Eu não conheco-me a matéria “Azulejos valiosos”.
Mas, acho que pelo menos esta históricos não forem concluídas.
",0
20152t4p1823n0r.docx,"- Roubo e depredações em Belém
- A capital paraense já foi considerada uma das cidades Brasileiras com maior valor de azulejos, importados da Europa principalmente na virada do século XIX para o século XX na década de 1970.

O Palacete Vitor Maria da Silva, Batizado pelo Augusto montenegro (1904-1909), os azulejos foram encontrados são mais de 1.000 de fragmentos montados em um quebra-cabeça para ver a que painéis pertencem.

Há cerca de um ano o Departamento do patrimônio Histórico Artístico e cultural (DPHAC) iniciou o projecto de tombamento do casarão, mais é o único pós os outros três casarões ja foram furtado no XIX.

Estes casarões fazem parte da história da cidade a vandalização é a desvalorização da importância dos casarões, a Prefeitura municipal deve tomar medidas severas para os autores porque é um patrimônio que esta sendo desvalorizado.
Os exemplares que restam devem ser protegidos enquanto as investigações não forem concluidas, pós é sabido que os outros três foram furtados.
Os cacos que foram encontrados devem permanecer no laboratório de conservação e restauração da UFPA (Lacore) ou colocada em museus porque faz parte da história e é patrimonio e cada Azulejo de cada casarão devem permanecer no museu com cada histórial dos casarões.",0
20152t4p2014n0r.docx,"Para prefeitura municipal de parana:

últimamente, nosso pais se tornou um pais muito perigoso, bopre, porque não tem responsabilidade. pessoas roubam.
",0
20152t4p2188n0r.docx,"
Azulejos Valiosos

No século XIX a cidades paraense ja foi considerada uma das capital Brasileira com maior variedade de azulejos que coloriam as fachadas e o enterior

No século XIX para o XX auge da Produção borracha
",0
20152t4p2402n0r.docx,"O cidade tem que fexa. Todo abrir por isso quebra-cabeça para ver o que painéis pertencem. Aí modo para algum fexa casa.
",0
20152t4p2616n0r.docx,"Uma das construções é o palacete Vitor Maria da Silva batizado com o nome de seu antigo dono inspector de obras do estado de pará no governo Augusto Monteiro.

Estes azulejos foram encontrados dias depois no laboratorio da UFPA

Há cerca de um ano, o departamento do patrimonio Historico, Artistico e cultura Dpanac iniciou o processo de tombamento do casarão segundo o procedmento é demorado por ser necessária documentar. No caso deste imovel os detalhes se tornam mais elaborados desde o nivel artico dos paineis de azuleijios.
",0
20152t4p2629n0r.docx,"“CHEGA”

Prezados responsáveis da Pref. Mun. do meu querido Belém do Pará.
Chega! A situação é insustentável.
",0
20152t4p264n0r.docx,"Azulejos Valiosos

Departamento do Patrimonio Historico, Artistico e cultural, Diretora Thais Toscano, pa se necessario documenta detalho Artuitetônicos e Historo da Contrução, lo cual fo Neowo de se tomarem Medidas Imediatas para Precisar las danos de arte. Azulejos valiosos por son patrimoro suspeitei e com Arquiteta e urbanista
",0
20152t4p2686n0r.docx,"Os usos dos azulejos estão nos incomodando e deva parada.
Prezada prefeitura,
Como morador de Belém, estou escrevendo para solicitar as medidas imediatas aos usos de azulejos.
Azulejos que eram importados da Europa antigamente, perderam seus valor até 50% da década de 1970, mas atualmente, os usos dos azulejos estão se tornando agravados.
As medidas imediatas têm que tomado pela a prefeitura porque o uso dos azulejos está destruido não só os prédios privados, mas ele está destruindo os predios históricos também, Então se nenhuma medida está tomada, o tempo vai chegar em que todos os prédios privados e históricos vão ser destruídos pelo uso desse material.
Além disso, os bandidos sempre aproveitam os usos dos azulejos para roubar casas dos cidadãos. Eu acho para nos acabaremos ou reduziremos desses atos de roubo em Belém a prefeitura tem que abolir os usos dos azulejos.
Em fim, a prefeitura tem que ensinar a descourajar o uso desse material
Eu espero que minhas sugestões sejam consideradas.
Atenciosamente.
Feliz morador com 32 anos.",0
20152t4p2973n0r.docx,"Azulejos valiosos
O problema é que azulejos do seculo XIX furtados. foram roubos pontuais muito estranhos. Aplacete Vitor Maria da Silva tem um dos interiores mais bonitos da cidade mas por fora é muito simples, não chama atenção. As pessoas que invadiram devem ter sido encarregadas de robar azulejo. Ou foi uma tentativa desqualifica da propriedade para que se possa fazer o que quiser com o patrimonio, suspeita a arquiteta e urbanista Claudia Nascemento.

Segundo a directora Thais Toscano o procedimento é demorado, por ser necessário documentar detalhes arquitetônicos e históricos da construção.
",0
20152t4p3382n0r.docx,"Oi
Todo mundo sabe que os azulejos saio da Europa, mas não todos sabem que 50% dos azulejos que foram importados da Europa se perderam ou foram de vandalismo.
Depois os azulejos mas ou menos 1000 fragmentos foram encontrados no Laboratório de Conservação e Restauração do UFPA.
Onde foram limpados. Problema é que diretor Thais Toscano documentou detalhes da construção os azulejos, mas a construção não teve proteção.
As pessoas que trabalham perto deste problema falaram que o povo acha que isso não tem proteção então pode roubar. Problema é que as pessoas não acham que os azulejos estão muito importantes porque são antigas eles não entendem isso.",0
